;EventTypeId;EventType;Description;ValueName;FormatType;DisplayUnits
188;1514774503327399936;ServerSide;(HP Teste) - Excesso de velocidade nos terminais - 20KM;Velocidade;Speed;km/h
189;-3263360059171983396;Custom;(HP) Uso indevido pedal acelerador 85% MB;FMS Accelerator Pedal Position;Value;%
190;1443761028319829598;Custom;(HP) Teste MB Fora da Faixa Verde;Rotação;Value;RPM
191;-4921024113127362274;Custom;(HP) Teste VW Fora da Faixa Verde;Rotação;Value;RPM
192;-529328588670984177;Custom;FMS clutch switch;;;
193;207856453574166642;Custom;(HP) Pressão de Óleo (Média) MB;FMS Engine Oil Pressure;Value;kPa
194;-752958622125295327;Custom;(HP) Pressão de Óleo (Máxima) MB;FMS Engine Oil Pressure;Value;kPa
195;2506681610511737959;Custom;(HP) Temperatura do óleo (Média) MB;FM CAN: Engine Oil Temperature;Value;C
196;-3758873779993826956;Custom;(HP) Temperatura do óleo (Máxima) MB;FM CAN: Engine Oil Temperature;Value;C
197;-7123962973183832704;Custom;(HP) Pressão Pneumática Circuito A (Máxima) MB;FMS Service Brake Air Pressure Circuit 1;Value;kPa
198;-6341349870272069507;Custom;(HP) Pressão Pneumática Circuito B (Média) MB;FMS Service Brake Air Pressure Circuit 2;Value;kPa
199;-185411581352749252;Custom;(HP) Pressão Pneumática Circuito A (Média) MB;FMS Service Brake Air Pressure Circuit 1;Value;kPa
200;8261479921022395027;Custom;(HP) Pressão Pneumática Circuito B (Máxima) MB;FMS Service Brake Air Pressure Circuit 2;Value;kPa
201;-6129755720729105405;Custom;(HP) Temperatura Admissão (Máxima) MB;FMS Engine Intake Manifold Temperature;Value;°C
202;7065825748957722848;Custom;(HP) Temperatura Admissão (Média) MB;FMS Engine Intake Manifold Temperature;Value;°C
203;7599399711666227326;Custom;(HP) Turbina Acelerando ao desligar;Rotação;Value;RPM
204;7768796765888747610;Custom;(HP) Turbina, Acelerando ao Ligar;Rotação;Value;RPM
205;1615286158982360440;Custom;(HP) Baixa Pressão pneumática Circ. A (Mov.) MB;FMS Service Brake Air Pressure Circuit 1;Value;kPa
206;-6254266670144138713;Custom;(HP) Baixa Pressão pneumática Circ. B (Mov.) MB;FMS Service Brake Air Pressure Circuit 2;Value;kPa
207;1389198326262385492;Custom;gps alt;GPS altitude;DistanceMeters;m
208;5901366389452709065;Custom;(HP) Pressão de Óleo (Máxima);FM CAN: Oil Pressure;Value;kPa
209;5595785120339817050;Custom;(HP) Pressão de Óleo (Média);FM CAN: Oil Pressure;Value;kPa
210;5928173277131215037;Custom;(HP) Marcha Lenta Excessiva;;;
211;-6834185547174380704;Custom;(HP) Temp. liq. arrefecimento (Alerta);FMS Engine Coolant Temperature;Value;°C
212;-1182458138592280247;Custom;(HP) Temperatura do óleo (Alerta) MB;FM CAN: Engine Oil Temperature;Value;C
213;-1987815027968775715;Custom;(HP) Fora da Faixa Verde - MB;Rotação;Value;RPM
214;5810031671892255535;Custom;(HP) Fora da Faixa Verde - VW;Rotação;Value;RPM
